Q9842;primary school
Q4989906;monument
Q5327174;earth structure
Q6017969;scenic viewpoint
Q6640302;commercial center
Q10373565;waterworks
Q12146012;underground building
Q12292478;estate
Q15090615;arts venue
Q29845814;trolleybus depot
Q47520309;recycling facility
Q50418254;outdoor concert venue
Q55713852;resthouse
Q56240808;oil rig
Q8072;volcano
Q79007;street
Q786014;rest area
Q75848;gated community
Q75520;plateau
Q728937;railway line
Q7275;state
Q719456;station
Q7075;library
Q6852233;military building
Q682943;cricket field
Q665487;diocese
Q655686;commercial building
Q643589;department
Q641226;arena
Q631305;rock formation
Q6256;country
Q6023295;funerary structure
Q5773747;historic house
Q55659167;natural watercourse
Q55488;railway station
Q54050;hill
Q532;village
Q53060;gate
Q52177058;civic building
Q515716;prefecture
Q5153984;commune-level subdivision of Vietnam
Q515;city
Q5144960;microregion
Q5119;capital
Q5107;continent
Q5084;hamlet
Q5031071;canal tunnel
Q5003624;memorial
Q4976993;civil parish
Q4830453;business
Q47521;stream
Q473972;protected area
Q46614560;deanery (building)
Q44782;port
Q44613;monastery
Q44539;temple
Q44494;mill
Q44377;tunnel
Q4421;forest
Q43501;zoo
Q4286337;city district
Q42523;atoll
Q40357;prison
Q4022;river
Q40080;beach
Q39715;lighthouse
Q3957;town
Q3947;house
Q38723;higher education institution
Q38720;windmill
Q3623867;arrondissement of Benin
Q35666;glacier
Q355304;watercourse
Q35509;cave
Q35112127;historic building
Q34985575;city district
Q34876;province
Q34763;peninsula
Q34627;synagogue
Q3455524;administrative region
Q34442;road
Q33837;archipelago
Q33506;museum
Q24699794;museum building
Q32815;mosque
Q3240715;crater
Q3191695;regency of Indonesia
Q3153117;intercommunality
Q30198;marsh
Q30139652;health care structure
Q294422;public building
Q2870166;water ride
Q274153;water tower
Q271669;landform
Q2659904;government organization
Q24529780;point
Q24354;theater
Q2354973;road tunnel
Q23442;island
Q23413;castle
Q23397;lake
Q2327515;city district of Baden-Württemberg
Q2311958;canton
Q22927291;sixth-level administrative country subdivision
Q22698;park
Q2175765;tram stop
Q205495;petrol station
Q204832;roller coaster
Q2042028;ravine
Q202216;overseas department and region of France
Q194203;arrondissement of France
Q194195;amusement park
Q185187;watermill
Q185113;cape
Q1799794;administrative territorial entity of a specific level
Q1788454;road junction
Q1785071;fort
Q1777138;race track
Q177380;hot spring
Q174814;electrical substation
Q174782;square
Q17343829;unincorporated community in the United States
Q17018380;bight
Q16970;church building
Q16917;hospital
Q39364723;hospital building
Q16831714;government building
Q165;sea
Q160742;abbey
Q159719;power station
Q159334;secondary school
Q15640612;fifth-level administrative country subdivision
Q15243209;historic district
Q152081;concentration camp
Q15195406;city district in Russia
Q1500350;township of the People's Republic of China
Q149621;district
Q14757767;fourth-level administrative country subdivision
Q14350;radio station
Q1410668;National Wildlife Refuge
Q1377575;wildlife refuge
Q1353183;launch pad
Q134447;nuclear power plant
Q133215;casino
Q133056;mountain pass
Q13221722;third-level administrative country subdivision
Q13220204;second-level administrative country subdivision
Q1311958;railway tunnel
Q1303167;barn
Q130003;ski resort
Q12518;tower
Q489357;farmhouse
Q12516;pyramid
Q1248784;airport
Q12284;canal
Q12280;bridge
Q121359;infrastructure
Q1210950;channel
Q11755880;residential building
Q11707;restaurant
Q11315;shopping center
Q11303;skyscraper
Q1115575;civil parish
Q1107656;garden
Q10864048;first-level administrative country subdivision
Q105731;lock
Q105190;levee
Q1048525;golf course
Q102496;parish
Q28872924;designation for an administrative territorial entity of a single country
Q15617994;designation for an administrative territorial entity
Q159313;urban agglomeration
Q24398318;religious building
Q327333;government agency
Q860861;sculpture
Q46395;British overseas territories
Q103910131;part of city or town or population centre
Q103910177;city or town or population centre
Q103910453;village or neigbourhood
